Side_Name,Side_VN
food allergy,Dị ứng thực phẩm
food intolerance,Bất dung nạp thực phẩm
food poisoning,Ngộ độc thực phẩm
foreign body in eye,Dị vật trong mắt
fracture nonunion,Gãy xương không liền
fractured pelvis NOS,Gãy xương chậu (không xác định)
fungal disease,Bệnh do nấm
furuncle,Nhọt
galactorrhea,Tiết sữa bất thường
gall bladder,Túi mật
gallbladder cancer,Ung thư túi mật
gallbladder perforation,Thủng túi mật
gallbladder polyp,Polyp túi mật
ganglion,U hạch hoạt dịch
gangrene,Hoại tử
gastric dilatation,Giãn dạ dày
gastric inflammation,Viêm dạ dày
gastric polyps,Polyp dạ dày
gastric stasis,Ứ trệ dạ dày
gastric ulcer,Loét dạ dày
gastroduodenal ulcer,Loét dạ dày tá tràng
gastroenteritis,Viêm dạ dày ruột
gastroenteritis viral,Viêm dạ dày ruột do virus
gastrointestinal bleed,Xuất huyết tiêu hóa
genital herpes,Mụn rộp sinh dục
gestational diabetes,Đái tháo đường thai kỳ
giardiasis,Nhiễm Giardia
gingival pain,Đau nướu
gingivitis,Viêm nướu
glaucoma,Tăng nhãn áp
glioblastoma multiforme,U nguyên bào thần kinh đệm đa dạng
glioma,U thần kinh đệm
global amnesia,Mất trí nhớ toàn bộ thoáng qua
glomerulonephritis,Viêm cầu thận
glossodynia,Đau lưỡi
glucosuria,Đường niệu
goiter,Bướu giáp
gonorrhea,Lậu
gout,Gút
gouty arthritis,Viêm khớp do gút
granuloma,U hạt
gynaecomastia,Nam vú to
haemangioma,U máu
haemarthrosis,Tràn máu khớp
haematemesis,Nôn ra máu
haematochezia,Đi ngoài ra máu tươi
haematoma,Tụ máu
haemolytic anaemia,Thiếu máu tán huyết
haemorrhage intracranial,Xuất huyết nội sọ
haemorrhage rectum,Xuất huyết trực tràng
haemorrhoids,Trĩ
hair disease,Bệnh tóc
hay fever,Viêm mũi dị ứng
head injury,Chấn thương đầu
heart attack,Nhồi máu cơ tim
heart rate increased,Tăng nhịp tim
heat rash,Rôm sảy
heat stroke,Sốc nhiệt
heavy menstrual period,Cường kinh
hematoma subdural,Tụ máu dưới màng cứng
hematospermia,Xuất tinh ra máu
hemiparesis,Yếu nửa người
hemiplegia,Liệt nửa người
hemoglobinuria,Hemoglobin niệu
hemophilia B,Hemophilia B
hemothorax,Tràn máu màng phổi
hepatic encephalopathy,Bệnh não gan
hepatic necrosis,Hoại tử gan
hepatic neoplasia,U gan
hepatitis,Viêm gan
hepatitis B,Viêm gan B
hepatitis B surface antigen positive,Dương tính kháng nguyên bề mặt viêm gan B
hepatitis C antibody positive,Dương tính kháng thể viêm gan C
hepatitis toxic,Viêm gan nhiễm độc
hepatorenal syndrome,Hội chứng gan thận
hernia,Thoát vị
hernia hiatal,Thoát vị hoành
herpes simplex,Mụn rộp simplex
herpes zoster,Zona thần kinh
hesitancy,Tiểu khó khởi đầu
hiccough,Nấc cụt
high risk pregnancy,Thai kỳ nguy cơ cao
hip fracture,Gãy xương hông
hirsuitism,Rậm lông
histoplasmosis,Nhiễm nấm Histoplasma
hive,Mề đay
hordeolum,Lẹo mắt
hot flash,Bốc hỏa
humerus fracture,Gãy xương cánh tay
hydrocele,Tràn dịch tinh hoàn
hydrocephalus,Não úng thủy
hydronephrosis,Ứ nước thận
hydroureter,Ứ nước niệu quản
hyperacusia,Tăng thính lực
hyperaesthesia,Tăng cảm giác
hyperalimentation,Nuôi dưỡng quá mức
hyperamylasaemia,Tăng amylase máu
hypercalcinuria,Tăng calci niệu
hyperchloremia,Tăng clo máu
hyperglycaemia,Tăng đường huyết
hyperhidrosis,Tăng tiết mồ hôi
hyperkeratosis,Tăng sừng hóa
hyperlipaemia,Tăng lipid máu
hypermagnesemia,Tăng magnesi máu
hypermetropia,Viễn thị
hypernatraemia,Tăng natri máu
hyperparathyroidism,Cường cận giáp
hyperphosphatemia,Tăng phosphat máu
hyperpigmentation,Tăng sắc tố
hypersplenism,Cường lách
hyperthyroidism,Cường giáp
hypertrichosis,Rậm lông toàn thân
hyperuricaemia,Tăng acid uric máu
hypervitaminosis,Tăng vitamin
hypoaldosteronism,Suy aldosteron
hypochloraemia,Giảm clo máu
hypochondriasis,Nghi bệnh
hypogammaglobulinaemia,Giảm gammaglobulin máu
hypoglycaemia,Hạ đường huyết
hypoglycaemia neonatal,Hạ đường huyết sơ sinh
hypogonadism,Suy sinh dục
hypogonadotropic hypogonadism,Suy sinh dục do giảm gonadotropin
hypokalaemia,Hạ kali máu
hypomenorrhea,Kinh nguyệt ít
hypoparathyroidism,Suy cận giáp
hypopituitarism,Suy tuyến yên
hypospadias,Lỗ tiểu lệch thấp
hypothyroid,Suy giáp
hypovitaminosis,Thiếu vitamin
hypoxia,Thiếu oxy
ichthyosis,Bệnh vảy cá
icterus,Vàng da
idiopathic thrombocytopenic purpura,Xuất huyết giảm tiểu cầu vô căn
ild,Bệnh phổi kẽ
impetigo,Chốc lở
incisional hernia,Thoát vị vết mổ
increased platelet count,Tăng tiểu cầu
increased white blood cell count,Tăng bạch cầu
infection,Nhiễm trùng
infectious mononucleosis,Tăng bạch cầu đơn nhân nhiễm trùng
infertility,Vô sinh
infestation,Nhiễm ký sinh trùng
inflammatory bowel disease,Bệnh viêm ruột
ingrowing nail,Móng mọc quặp
injury of neck,Chấn thương cổ
insomnia,Mất ngủ
insulin dependent diabetes mellitus,Đái tháo đường phụ thuộc insulin
intervertebral disc disorder,Rối loạn đĩa đệm cột sống
intestinal functional disorder,Rối loạn chức năng ruột
intestinal perforation,Thủng ruột
intestinal ulcer,Loét ruột
intraocular inflammation,Viêm nội nhãn
intussusception,Lồng ruột
iridocyclitis,Viêm mống mắt thể mi
iritis,Viêm mống mắt
iron deficiency anaemia,Thiếu máu thiếu sắt
irregular menstrual cycle,Rối loạn kinh nguyệt
ischaemia,Thiếu máu cục bộ
ischias,Đau thần kinh tọa
itch,Ngứa
jaundice neonatal,Vàng da sơ sinh
joint effusion,Tràn dịch khớp
joint stiffness,Cứng khớp
joint swelling,Sưng khớp
keratitis,Viêm giác mạc
keratitis sicca,Viêm giác mạc khô
keratoacanthomas,U sừng dạng nang
ketoacidosis,Nhiễm toan ceton
kidney failure,Suy thận
kidney neoplasm,U thận
kidney pain,Đau thận
kidney transplant,Ghép thận
labyrinthitis,Viêm mê đạo
laceration,Vết rách
lactose intolerance,Bất dung nạp lactose
lagophthalmos,Hở mi
laryngeal neoplasia,U thanh quản
laryngitis,Viêm thanh quản
left ventricular hypertrophy,Phì đại thất trái
leucocytosis,Tăng bạch cầu
leucopenia,Giảm bạch cầu
leukoplakia,Bạch sản
leukoplakia of mouth,Bạch sản miệng
lichen planus,Lichen phẳng
limb malformation,Dị dạng chi
lipoma,U mỡ
liver abscess,Áp xe gan
lobar pneumonia,Viêm phổi thùy
loss of consciousness,Mất ý thức
loss of weight,Sụt cân
lower GI bleeding,Xuất huyết tiêu hóa dưới
lung abscess,Áp xe phổi
lung adenocarcinoma,U tuyến phổi
lung edema,Phù phổi
lung fibrosis,Xơ phổi
lung infiltration,Thâm nhiễm phổi
lung neoplasm malignant,U phổi ác tính
lung neoplasms,U phổi
lymphangitis,Viêm mạch bạch huyết
lymphedema,Phù bạch huyết
lymphocytosis,Tăng lympho bào
lymphoma,U lympho
macrocytosis,Hồng cầu to
macroglossia,Lưỡi to
macula lutea degeneration,Thoái hóa hoàng điểm
major depression,Trầm cảm nặng
malabsorption,Kém hấp thu
malignant hypertension,Tăng huyết áp ác tính
malignant melanoma,U hắc tố ác tính
malnourished,Suy dinh dưỡng
mast cell disease,Bệnh tế bào mast
mediastinal disorder,Rối loạn trung thất
mediastinal tumor,U trung thất
megacolon,Đại tràng to
meibomianitis,Viêm tuyến Meibomius
melanocytic naevus,Nevus sắc tố
melanosis,Tăng sắc tố
meningeal irritation,Kích thích màng não
meningioma,U màng não
meningitides,Viêm màng não
meningocele,Thoát vị màng não
menometrorrhagia,Rong kinh rong huyết
mental retardation,Chậm phát triển trí tuệ
metabolic acidosis,Nhiễm toan chuyển hóa
metabolic alkalosis,Nhiễm kiềm chuyển hóa
metabolic encephalopathy,Bệnh não chuyển hóa
methaemoglobinaemia,Tăng methemoglobin máu
micturition urgency,Mót tiểu
migraine,Đau nửa đầu
milia,Hạt kê
mitral valve disease NOS,Bệnh van hai lá (không xác định)
mitral valve prolapse,Sa van hai lá
mixed connective tissue disease,Bệnh mô liên kết hỗn hợp
molluscum contagiosum,U mềm lây
monoclonal gammopathy,Tăng gammaglobulin đơn dòng
motion sickness,Say tàu xe
motor retardation,Chậm vận động
mouth bleeding,Chảy máu miệng
mouth pain,Đau miệng
mouth ulcer,Loét miệng
movement disorder,Rối loạn vận động
mucositis oral,Viêm niêm mạc miệng
multifocal leukoencephalopathy,Bệnh não chất trắng đa ổ
multiple sclerosis,Xơ cứng rải rác
muscle disorder,Rối loạn cơ
muscle inflammation,Viêm cơ
muscle paresis,Yếu cơ
muscle spasm,Co thắt cơ
muscle strain,Căng cơ
muscle weakness,Yếu cơ
musculoskeletal deformity,Biến dạng cơ xương khớp
musculoskeletal pain,Đau cơ xương khớp
myasthenia gravis,Nhược cơ
mycosis fungoides,U lympho da
myelitis,Viêm tủy
myelodysplasia,Loạn sản tủy
myelopathy,Bệnh tủy sống
myocarditis,Viêm cơ tim
myoclonic epilepsy,Động kinh giật cơ
myoglobinuria,Myoglobin niệu
myoma,U cơ
myopia,Cận thị
narcolepsy,Chứng ngủ rũ
nasal congestion,Nghẹt mũi
nasal polyp,Polyp mũi
nasal septal perforation,Thủng vách ngăn mũi
nasal septum disorder,Rối loạn vách ngăn mũi
nasal sinus congestion,Nghẹt xoang
nasopharyngitis,Viêm mũi họng
nausea,Buồn nôn
neck mass,Khối u vùng cổ
neonatal respiratory distress syndrome,Hội chứng suy hô hấp sơ sinh
neoplasia,Tân sinh
neoplasm prostate,U tuyến tiền liệt
nephrocalcinosis,Vôi hóa thận
nephrosclerosis,Xơ cứng thận
nephrotic syndrome,Hội chứng thận hư
nervous tension,Căng thẳng thần kinh
neumonia,Viêm phổi
neuroblastoma,U nguyên bào thần kinh
neurodermatitis,Viêm da thần kinh
neurofibromatosis,U xơ thần kinh
neurogenic bladder,Bàng quang thần kinh
neuroma,U thần kinh
neuropathy,Bệnh lý thần kinh
neuropathy peripheral,Bệnh lý thần kinh ngoại biên
night blindness,Quáng gà
night cramps,Chuột rút ban đêm
night sweat,Đổ mồ hôi đêm
nightmare,Ác mộng
nocturia,Tiểu đêm
nodule,Nốt
normal pressure hydrocephalus,Não úng thủy áp lực bình thường
nystagmus,Rung giật nhãn cầu
obesity,Béo phì
obstructive uropathy,Bệnh đường tiết niệu tắc nghẽn
ocular hypertension,Tăng nhãn áp
odynophagia,Đau khi nuốt
onychomycosis,Nấm móng
oophorectomy,Cắt buồng trứng
ophthalmoplegia,Liệt vận nhãn
optic atrophy,Teo dây thần kinh thị giác
optic disc edema,Phù gai thị
oral neoplasm,U khoang miệng
orchiectomy,Cắt tinh hoàn
orchitis,Viêm tinh hoàn
orthopnea,Khó thở khi nằm
osteochondrosis,Thoái hóa sụn xương
osteoma,U xương
osteomalacia,Nhuyễn xương
osteomyelitis,Viêm tủy xương
osteopetrosis,Bệnh xương đá
osteoporosis,Loãng xương
otitis media,Viêm tai giữa
otosclerosis,Xơ cứng tai
ovulation pain,Đau rụng trứng
pain in throat,Đau họng
pain pelvic,Đau vùng chậu
palpitation,Hồi hộp tim
palsies,Liệt
pancreatic cancer,Ung thư tụy
pancreatic pseudocyst,Nang giả tụy
pancreatitis,Viêm tụy
pancreatitis relapsing,Viêm tụy tái phát
panic attack,Cơn hoảng loạn
panic disorder,Rối loạn hoảng sợ
panniculitis,Viêm mô mỡ dưới da
papillary necrosis,Hoại tử nhú thận
paranoia,Hoang tưởng
paraparesis,Yếu hai chi dưới
paraplegia,Liệt hai chi dưới
parapsoriasis,Vảy nến dạng vảy phấn
parasitic infection intestinal,Nhiễm ký sinh trùng đường ruột
paronychia,Viêm quanh móng
parotid gland enlargement,Phì đại tuyến mang tai
parotitis,Viêm tuyến mang tai
patent ductus arteriosis,Ống động mạch còn tồn tại
peliosis,Bệnh giãn mạch máu dạng hang
pelvic infection,Nhiễm trùng vùng chậu
pemphigus,Bệnh pemphigus
penile discharge,Tiết dịch dương vật
periarteritis nodosa,Viêm đa động mạch nút
pericardial effusion,Tràn dịch màng tim
pericarditis,Viêm màng tim
periodontal disease,Bệnh nha chu
periodontitis,Viêm nha chu
periostitis,Viêm màng xương
peripheral nerve injury,Tổn thương thần kinh ngoại biên
perirectal abscess,Áp xe quanh trực tràng
peritoneal adhesions,Dính phúc mạc
peritonitis,Viêm phúc mạc
petechia,Chấm xuất huyết
petit mal,Động kinh vắng ý thức
phaeochromocytoma,U tủy thượng thận
pharyngeal inflammation,Viêm họng
phimosis,Hẹp bao quy đầu
phlebitis superficial,Viêm tĩnh mạch nông
phlebothrombosis,Huyết khối tĩnh mạch
phobia,Ám ảnh sợ
pigmentary retinopathy,Bệnh võng mạc sắc tố
pigmentation disorder,Rối loạn sắc tố
pilonidal cyst,Nang lông vùng cùng cụt
pityriasis,Vảy phấn
platelet disorder,Rối loạn tiểu cầu
pleural fibrosis,Xơ màng phổi
pleural pain,Đau màng phổi
pleurisy,Viêm màng phổi
pneumoconiosis,Bệnh bụi phổi
pneumonectomy,Cắt phổi
pneumonia Klebsiella,Viêm phổi do Klebsiella
pneumonia primary atypical,Viêm phổi không điển hình nguyên phát
pneumonia staphylococcal,Viêm phổi do tụ cầu
pneumothorax,Tràn khí màng phổi
polyarthritis,Viêm đa khớp
polycystic ovary disease,Hội chứng buồng trứng đa nang
polymyalgia rheumatica,Đau đa cơ dạng thấp
polymyositis,Viêm đa cơ
polyneuropathy,Bệnh đa dây thần kinh
polyp,Polyp
polyuria,Đa niệu
portal hypertension,Tăng áp lực tĩnh mạch cửa
portal vein thrombosis,Huyết khối tĩnh mạch cửa
post traumatic stress disorder,Rối loạn stress sau sang chấn
postmenopausal bleeding,Chảy máu sau mãn kinh
pregnancy induced hypertension,Tăng huyết áp thai kỳ
premature menopause,Mãn kinh sớm
premature separation of placenta,Bong nhau thai sớm
priapism,Cương đau dương vật
primary biliary cirrhosis,Xơ gan mật nguyên phát
proctalgia,Đau trực tràng
proctitis,Viêm trực tràng
prolactinoma,U tiết prolactin
prostatism,Hội chứng tiền liệt tuyến
prostatitis,Viêm tuyến tiền liệt
proteinuria,Protein niệu
psoriasis,Vảy nến
psoriatic arthritis,Viêm khớp vảy nến
psychoses,Loạn thần
psychosexual disorder,Rối loạn tâm sinh lý
psychosomatic disease,Bệnh tâm thể
pulmonary arrest,Ngừng hô hấp
pulmonary hypertension,Tăng áp phổi
pulmonary mass,Khối u phổi
pyelonephritis,Viêm thận bể thận
pyloric stenosis,Hẹp môn vị
pyoderma,Nhiễm trùng da mủ
pyoderma gangrenosum,Hoại thư da mủ
pyogenic granuloma,U hạt mủ
pyuria,Mủ niệu
quadriplegia,Liệt tứ chi
rabies,Dại
radiation pneumonitis,Viêm phổi do xạ trị
radiculopathy,Bệnh rễ thần kinh
rectal discharge,Tiết dịch trực tràng
rectal polyp,Polyp trực tràng
rectal prolapse,Sa trực tràng
reflex sympathetic dystrophy,Loạn dưỡng giao cảm phản xạ
reflux esophagitis,Viêm thực quản trào ngược
refraction disorder,Rối loạn khúc xạ
regurgitation,Trào ngược
renal abscess,Áp xe thận
renal agenesis,Bất sản thận
renal cancer,Ung thư thận
renal colic,Cơn đau quặn thận
renal cyst,Nang thận
renal mass,Khối u thận
renal tubular acidosis,Nhiễm toan ống thận
renovascular hypertension,Tăng huyết áp do mạch thận
respiratory alkalosis,Nhiễm kiềm hô hấp
respiratory failure,Suy hô hấp
retinal bleeding,Xuất huyết võng mạc
retinal degeneration,Thoái hóa võng mạc
retinal scar,Sẹo võng mạc
retinal vein thrombosis,Huyết khối tĩnh mạch võng mạc
retinitis,Viêm võng mạc
retinopathy hypertensive,Bệnh võng mạc do tăng huyết áp
retinopathy of prematurity,Bệnh võng mạc trẻ sinh non
retrocollis,Vẹo cổ ra sau
rhabdomyolysis,Tiêu cơ vân
rhabdomyosarcoma,U cơ vân ác tính
rheumatic heart disease,Bệnh tim do thấp
rhinorrhea,Chảy nước mũi
rib fracture,Gãy xương sườn
rickets,Còi xương
right heart failure,Suy tim phải
road traffic accident,Tai nạn giao thông
rotator cuff syndrome,Hội chứng chóp xoay vai
rupture of spleen,Vỡ lách
sacroiliitis,Viêm khớp cùng chậu
salivary gland enlargement,Phì đại tuyến nước bọt
salivary gland inflammation,Viêm tuyến nước bọt
sarcoidosis,Sarcoidosis
sarcoma,U sarcoma
schizoaffective disorder,Rối loạn phân liệt cảm xúc
schizophrenia,Tâm thần phân liệt
scleritis,Viêm củng mạc
scotoma,Ám điểm
seborrhoeic keratosis,Dày sừng tiết bã
sensory disturbance,Rối loạn cảm giác
sepsis,Nhiễm trùng huyết
septic abortion,Sẩy thai nhiễm trùng
septic shock,Sốc nhiễm trùng
serum sickness,Bệnh huyết thanh
sexually transmitted diseases,Bệnh lây truyền qua đường tình dục
shoulder pain,Đau vai
sick sinus syndrome,Hội chứng nút xoang bệnh lý
sinus arrest,Ngừng xoang
sinus bradycardia,Nhịp chậm xoang
sinus tachycardia,Nhịp nhanh xoang
skin abrasion,Trầy da
skin lesion,Tổn thương da
sleep apnea,Ngưng thở khi ngủ
sleep disorder,Rối loạn giấc ngủ
sleep walking,Mộng du
sneezing,Hắt hơi
soft tissue infection,Nhiễm trùng mô mềm
soft tissue injuries,Chấn thương mô mềm
spider angioma,Sao mạch
spinal cord injury,Tổn thương tủy sống
spinning sensation,Chóng mặt quay cuồng
splenectomy,Cắt lách
splinter,Dằm
spondylitis,Viêm cột sống
spondylosis,Thoái hóa cột sống
squamous cell carcinoma of skin,Ung thư biểu mô tế bào vảy da
status epilepticus,Trạng thái động kinh
still birth,Thai chết lưu
streptococcal infection,Nhiễm liên cầu
stridor,Thở rít
subarachnoid haemorrhage,Xuất huyết dưới nhện
substance abuse,Lạm dụng chất
sunburn,Cháy nắng
superior vena cava syndrome,Hội chứng tĩnh mạch chủ trên
supernumerary nipple,Núm vú phụ
swollen scrotum,Sưng bìu
syncope vasovagal,Ngất do phản xạ phế vị
synovial cyst,Nang hoạt dịch
synovitis,Viêm bao hoạt dịch
syphilis,Giang mai
tachycardia ventricular,Nhịp nhanh thất
tardive dyskinesia,Rối loạn vận động muộn
telangiectases,Giãn mao mạch
temporal arteritis,Viêm động mạch thái dương
tendon injury,Tổn thương gân
tension headache,Đau đầu căng thẳng
testes pain,Đau tinh hoàn
testicular atrophy,Teo tinh hoàn
testicular swelling,Sưng tinh hoàn
tetanus,Uốn ván
tetany,Co cứng cơ
tetralogy of Fallot,Tứ chứng Fallot
thrombocytopenia,Giảm tiểu cầu
thrombotic microangiopathy,Bệnh vi mạch huyết khối
thyroid adenoma,U tuyến giáp
thyroid cancer,Ung thư tuyến giáp
thyroid cyst,Nang tuyến giáp
thyroid disease,Bệnh tuyến giáp
thyroid neoplasia,U tuyến giáp
thyroidectomy,Cắt tuyến giáp
thyroiditis,Viêm tuyến giáp
tinea,Nấm da
tinea cruris,Hắc lào bẹn
tinea pedis,Nấm bàn chân
tinea versicolor,Lang ben
tinnitus,Ù tai
tonsillar hypertrophy,Phì đại amidan
tonsillectomy,Cắt amidan
tonsillitis,Viêm amidan
tooth disease,Bệnh răng
toxic shock,Sốc nhiễm độc
toxoplasmosis,Nhiễm Toxoplasma
tracheitis,Viêm khí quản
tracheostomy,Mở khí quản
transient ischaemic attack,Cơn thiếu máu não thoáng qua
transurethral resection of the prostate,Cắt tuyến tiền liệt qua niệu đạo
traumatic amputation,Cắt cụt do chấn thương
traumatic arthropathy,Bệnh khớp do chấn thương
tremor,Rung
trichomoniasis,Nhiễm Trichomonas
trifascicular block,Block ba nhánh
trigeminal neuralgia,Đau dây thần kinh sinh ba
trigger finger,Ngón tay bật
trisomy 21,Hội chứng Down
tuberculin test positive,Test tuberculin dương tính
tympanic membrane perforation,Thủng màng nhĩ
ulcer,Loét
umbilical hernia,Thoát vị rốn
upper gastrointestinal bleeding,Xuất huyết tiêu hóa trên
ureteral obstruction,Tắc niệu quản
urethritis,Viêm niệu đạo
urogenital abnormalities,Dị dạng tiết niệu sinh dục
urosepsis,Nhiễm trùng huyết tiết niệu
uterine bleeding,Chảy máu tử cung
uterine infection,Nhiễm trùng tử cung
vaginal discharge,Khí hư
vaginal dysplasia,Loạn sản âm đạo
varicocele,Giãn tĩnh mạch thừng tinh
varicose vein,Suy giãn tĩnh mạch
vascular anomaly,Dị dạng mạch máu
vascular headache,Đau đầu do mạch máu
venous insufficiency,Suy tĩnh mạch
ventricular fibrillation,Rung thất
ventricular septal defect,Thông liên thất
viral pneumonia,Viêm phổi do virus
vitamin B 12 deficiency,Thiếu vitamin B12
vitamin B deficiency,Thiếu vitamin B
vitiligo,Bạch biến
vitreous detachment,Bong dịch kính
vocal cord paralysis,Liệt dây thanh
volvulus,Xoắn ruột
vulval abscess,Áp xe âm hộ
vulvitis,Viêm âm hộ
vulvovaginitis,Viêm âm hộ âm đạo
wandering atrial pacemaker,Nhịp xoang di chuyển
weight gain,Tăng cân
wheeze,Khò khè
wound dehiscence,Bục vết mổ
wrist fracture,Gãy xương cổ tay
xanthoma,U vàng
xerosis,Khô da
